date,home,away,actual,pred_poisson,pred_real,has_real,relo_h,relo_a,lambda_h,lambda_a,match_idx,se_real,se_poisson,min_elo
2026-03-26,Bahamas,Anguilla,0.0,0.5969821498075066,0.7313778578393882,True,719.0,645.0,1.810639902267511,1.354792525657914,2040,0.5349135709377324,0.35638768718879227,645.0
2026-03-26,Poland,Albania,1.0,0.5986298697381066,0.7279715135441962,True,1735.0,1664.0,1.5148925052000322,1.0901791077072667,2041,0.07399949744343542,0.16109798146644927,1664.0
2026-03-26,Bolivia,Suriname,1.0,0.6063030105728248,0.8638714763418578,True,1661.0,1440.0,1.6350465283224191,1.1619775299839328,2042,0.018530974953345384,0.15499731948402132,1440.0
2026-03-26,Seychelles,Lesotho,0.5,0.3588191883554678,0.17118235224572423,True,842.0,1216.0,1.02652523071365,1.646330698394131,2043,0.108121045474655,0.019932021576608887,842.0
2026-03-27,Azerbaijan,Saint Lucia,1.0,0.6141646712554855,0.8705002577432696,True,1339.0,1008.0,1.7284184310501922,1.2083185325977241,2044,0.016770183244559617,0.1488689009073876,1008.0
2026-03-27,Cayman Islands,British Virgin Islands,0.5,0.652578838441299,0.7565805942950526,True,798.0,701.0,1.404714409450988,0.7884184336144536,2045,0.0658336013688024,0.023280301940096036,701.0
2026-03-27,Guyana,Dominica,1.0,0.7747191673862845,0.9252264436735518,True,1275.0,938.0,2.506834805584058,1.0494776846243143,2046,0.005591084725704525,0.05075145354312888,938.0
2026-03-27,Dominican Republic,El Salvador,0.5,0.5836784307429105,0.5910755963149433,True,1290.0,1326.0,1.5023831158369025,1.1405370722547257,2047,0.008294764244122519,0.007002079771596066,1290.0
2026-03-27,New Caledonia,Jamaica,0.0,0.47198074987504746,0.2800809940528481,True,1286.0,1550.0,1.2415285175507194,1.3612252768337716,2048,0.07844536322963153,0.2227658282526121,1286.0
2026-03-27,Russia,Nicaragua,1.0,0.800631081393082,0.9819249995331694,True,1922.0,1328.0,2.165608681353726,0.7052004932075434,2049,0.0003267056418759278,0.03974796570649188,1328.0
